Time,Yield,Time,Yield,Time,Yield,Time,Yield,Time,Yield
h,%,h,%,h,%,h,%,h,%
,Rebpy,,Re4dmb,,Re4tbbp,,Re6dmb,,Re6mesbpy
0,1.019082,0,2,0,0.64489,0,2.06,0,3.153978593
0.25,2.5498002,0.25,7,0.25,4.75175,0.25,5.94,0.25,4.391319014
0.5,4.1598838,0.5,11,0.5,10.34926,0.5,9.01,0.5,5.786473035
0.75,5.887997,0.75,15,0.75,16.46827,0.75,12.09,0.75,7.387866399
1,7.6420674,1,21,1,21.53728,1,11.86,1,8.693366923
1.5,9.614931,1.5,26,1.5,27.90154,1.5,13.18,1.5,10.77201745
2.5,13.1965202,2.5,31,2,32.55102,2,15.69,2.5,15.09620148
3.67,16.6094458,3.8,38,3,36.55032,3,18.82,4.5,17.83785729
4.67,18.14191,7.8,49,4,40.39189,4,20.24,6,21.43656214
6.67,22.0793922,21.75,64,5,45.06517,6,21.93,7.5,21.6521496
22.67,47.274696,28,66,6,49.68127,8,24.38,25,31.1
51.5,51.3702882,49.5,72,7,51.31283,23.5,36,29,31.1
,,56.5,70,23,71.77303,27.5,35,46.5,38.2
,,58.3,70,25,70.48787,31.5,36,,
,,,,31,73.15177,47,43,,
,,,,51,82.04324,49.5,40,,
,,,,54,82.04324,,,,
