AB-1-010;AB-1-010;AB-1-016;AB-1-016;AB-1-037;AB-1-037;AB-1-009;AB-1-009;Ref-old;Ref-old
0.05/noH2O;0.05/noH2O;0.01;0.01;0.02;0.02;0.05;0.05;Re-3;Re-3
Time;Conv;Time (min);Conv;Time;Conv;Time;Conv;Time;Conv
0;0;0;0;0;1.26;0;0;0;0
15;37.75;2;20.47;2;29.06;15;80.8;15;19.62382
30;45.27;7;41.58;4;38.91;30;84.76;30;27.08464
;;12;59.41;14;62.36;;;45;31.53605
;;27;69.2;24;69.57;;;60;35.23511
;;44;72.6;54;74.75;;;90;39.49843
;;49;75.1;84;76.19;;;120;43.82445
;;79;75.41;144;77.55;;;180;50.15674
;;139;78.75;;;;;240;55.23511
